Address,Beds,Baths,Price,Square Foot
"2276 Sargent Pl   SE, Atlanta, GA 30315",Studio,Undisclosed,75000,Undisclosed
"496 Park Valley Dr NW, Atlanta, GA 30318",3bd,1ba,174900,828
"3579 Castlegate Dr NW, Atlanta, GA 30327",4bd,5ba,2775000,5582
"507 Carter Ave SE, Atlanta, GA 30317",4bd,3ba,675000,2384
"958 Wylie St SE, Atlanta, GA 30316",4bd,3ba,949900,2304
"353 Collier Ridge Dr NW, Atlanta, GA 30318",3bd,2ba,359900,1450
"1063 Smith St SW, Atlanta, GA 30310",3bd,2ba,400000,1509
"2554 Boulder Hill Ct, Atlanta, GA 30316",4bd,3ba,439000,1544
"675 Greenwood Ave NE #108, Atlanta, GA 30306",2bd,3ba,675000,1686
"625 Piedmont Ave  NE #2025, Atlanta, GA 30308",1bd,1ba,395000,916
"1485 Harts Mill Rd, Atlanta, GA 30319",4bd,4ba,1095000,3155
"Brycen Plan in Park Vue, Atlanta, GA 30318",2bd,3ba,453955,1569
"3397 Rockhaven Cir NE, Atlanta, GA 30324",3bd,2ba,660000,1690
"1111 Clifton Rd   NE, Atlanta, GA 30307",6bd,4ba,1375000,4057
"1619 Sylvan Rd SW, Atlanta, GA 30310",4bd,2ba,490000,1821
"3623 Princeton Ave, College Park, GA 30337",3bd,4ba,410000,1520
"779 N  Elizabeth Pl NW, Atlanta, GA 30318",3bd,2ba,345900,1600
"735 Elkmont Dr NE, Atlanta, GA 30306",4bd,4ba,1499900,3106
"1059 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,672900,2294
"1095 Robert Smalls Way, Atlanta, GA 30318",3bd,4ba,662900,2294
"1055 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,672900,2294
"1057 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,652900,2294
"855 Peachtree St   NE #2807, Atlanta, GA 30308",2bd,3ba,529000,1184
"1977 Clairmont Ter, Atlanta, GA 30345",3bd,4ba,825000,3598
"390 17th St NW #2001, Atlanta, GA 30363",2bd,2ba,299900,1166
"4094 N  Shallowford Rd, Atlanta, GA 30341",4bd,3ba,499900,2288
"1057 Shepherds Ln, Atlanta, GA 30324",5bd,4ba,935000,3600
"Belhaven Plan in The Villages at Oakshire, Atlanta, GA 30354",4bd,3ba,335430,1991
"B6C Plan in J5, Atlanta, GA 30308",2bd,2ba,799900,1634
"375 Highland Ave  NE #303, Atlanta, GA 30312",3bd,3ba,435000,1478
"2615 Jefferson Ter, Atlanta, GA 30344",2bd,2ba,349500,1777
"1549 Brooksbank Dr, Atlanta, GA 30319",4bd,4ba,675000,2602
"1106 Briar Cove Cir, Atlanta, GA 30329",5bd,4ba,875000,2870
"2673 Dodson Ter SW, Atlanta, GA 30311",4bd,2ba,265000,1102
"50 Ormond St SW, Atlanta, GA 30315",4bd,3ba,557000,Undisclosed
"270 17th St NW #1104, Atlanta, GA 30363",2bd,3ba,599900,1744
"Lela Plan in Eloise at Grant Park - The Townhomes, Atlanta, GA 30312",2bd,3ba,554995,1534
"1300 Memorial Dr   SE #14, Atlanta, GA 30317",3bd,4ba,640000,2382
"2923 Two Lake Cir, College Park, GA 30349",3bd,3ba,240000,1225
"6580 Bellburn Rd, Atlanta, GA 30349",5bd,3ba,355900,2045
"1103 Leah Ln, Atlanta, GA 30316",3bd,3ba,550000,2040
"3982 Lake Manor Way, Atlanta, GA 30349",3bd,3ba,400000,2243
"641 Hamilton E Holmes Dr NW, Atlanta, GA 30318",3bd,2ba,170000,1155
"943 Peachtree Rd #1105, Atlanta, GA 30309",1bd,1ba,289000,754
"900 Coleman St   SW, Atlanta, GA 30310",4bd,3ba,550000,1900
"5522 Denny Dr, Atlanta, GA 30349",5bd,2ba,349900,1320
"391 Mount Zion Rd   SW, Atlanta, GA 30354",5bd,2ba,275000,2048
"1545 Pineview Ter SW, Atlanta, GA 30311",2bd,1ba,275000,1287
"70 Chappell Rd NW, Atlanta, GA 30314",5bd,3ba,439900,2160
"1696 Westwood Ave SW, Atlanta, GA 30310",4bd,3ba,635000,2400
"5222 Brooke Ridge Dr, Atlanta, GA 30338",2bd,2ba,469000,1645
"1777 Maple Walk Cir SW, Atlanta, GA 30315",3bd,3ba,370000,1966
"814 Humphries St SW, Atlanta, GA 30310",3bd,2ba,380000,1161
"1471 Hardin Ave, College Park, GA 30337",3bd,2ba,369900,1314
"451 Holly St NW, Atlanta, GA 30318",3bd,2ba,335000,1371
"738 Highland Ave NE, Atlanta, GA 30312",3bd,2ba,625000,1863
"452 Rockwell St SW, Atlanta, GA 30310",4bd,4ba,585000,2980
"626 Elmwood Dr NE, Atlanta, GA 30306",3bd,2ba,1095000,1914
"809 North Ave, Hapeville, GA 30354",6bd,3ba,450000,Undisclosed
"1029 Piedmont Ave NE #207, Atlanta, GA 30309",1bd,1ba,300000,852
"33 Mildred Pl NW, Atlanta, GA 30318",Studio,Undisclosed,84900,Undisclosed
"1016 Ada Ave NW, Atlanta, GA 30318",Studio,Undisclosed,35000,Undisclosed
"2828 Peachtree Rd NE #2802, Atlanta, GA 30305",2bd,2ba,550000,1371
"6851 Roswell Rd   #Q20, Atlanta, GA 30328",3bd,2ba,280000,1469
"180 Glenrose Cir SW, Atlanta, GA 30354",4bd,2ba,305000,850
"1410 Foxhall Ln   SE #5, Atlanta, GA 30316",3bd,2ba,164900,990
"388 Princeton Way, Atlanta, GA 30307",3bd,2ba,750000,1839
"Addison Basement Plan in Stein Steel, Atlanta, GA 30316",2bd,3ba,595000,1341
"5B Plan in 40 West 12th, Atlanta, GA 30309",3bd,3ba,1942101,2547
