,Address,Beds,Baths,Price,Square Foot
192,"1485 Harts Mill Rd, Atlanta, GA 30319",4bd,4ba,"$1,095,000","3,155 sqft (on 0.60 acres)"
193,"1118 Hawthorne St NE, Atlanta, GA 30307",5bd,3ba,"$699,000","2,432 sqft"
194,"3579 Castlegate Dr NW, Atlanta, GA 30327",4bd,5ba,"$2,775,000","5,582 sqft (on 1.05 acres)"
195,"6580 Bellburn Rd, Atlanta, GA 30349",5bd,3ba,"$360,000","2,045 sqft (on 0.31 acres)"
196,"1106 Briar Cove Cir, Atlanta, GA 30329",5bd,4ba,"$875,000","2,870 sqft"
197,"Belhaven Plan in The Villages at Oakshire, Atlanta, GA 30354",4bd,3ba,"$335,430+","1,991 sqft"
198,"375 Highland Ave  NE #303, Atlanta, GA 30312",3bd,3ba,"$435,000","1,478 sqft"
199,"3079 Revere Ct, Atlanta, GA 30340",2bd,3ba,"$200,000","1,160 sqft"
200,"50 Ormond St SW, Atlanta, GA 30315",4bd,3ba,"$557,000",Undisclosed
201,"270 17th St NW #1104, Atlanta, GA 30363",2bd,3ba,"$599,900","1,744 sqft"
202,"1549 Brooksbank Dr, Atlanta, GA 30319",4bd,4ba,"$675,000","2,602 sqft"
203,"10 Queen Victoria Pl NE, Atlanta, GA 30342",3bd,3ba,"$385,000",Undisclosed
204,"641 Hamilton E Holmes Dr NW, Atlanta, GA 30318",3bd,2ba,"$170,000","1,155 sqft"
205,"943 Peachtree Rd #1105, Atlanta, GA 30309",1bd,1ba,"$289,000",754 sqft
206,"5522 Denny Dr, Atlanta, GA 30349",5bd,2ba,"$349,900","1,320 sqft"
207,"2923 Two Lake Cir, College Park, GA 30349",3bd,3ba,"$240,000","1,225 sqft"
208,"4100 Paces Walk SE #1206, Atlanta, GA 30339",2bd,2ba,"$325,000","1,304 sqft"
209,"391 Mount Zion Rd   SW, Atlanta, GA 30354",5bd,2ba,"$275,000","2,048 sqft"
210,"1545 Pineview Ter SW, Atlanta, GA 30311",2bd,1ba,"$275,000","1,287 sqft"
211,"70 Chappell Rd NW, Atlanta, GA 30314",5bd,3ba,"$439,900","2,160 sqft"
212,"2637 Peachtree Rd NE #310, Atlanta, GA 30305",2bd,2ba,"$375,000","1,454 sqft"
213,"800 Peachtree St   NE #102, Atlanta, GA 30308",1bd,1ba,"$289,000",832 sqft
214,"1696 Westwood Ave SW, Atlanta, GA 30310",4bd,3ba,"$635,000","2,400 sqft"
215,"5222 Brooke Ridge Dr, Atlanta, GA 30338",2bd,2ba,"$469,000","1,645 sqft"
216,"1777 Maple Walk Cir SW, Atlanta, GA 30315",3bd,3ba,"$370,000","1,966 sqft"
217,"814 Humphries St SW, Atlanta, GA 30310",3bd,2ba,"$380,000","1,161 sqft"
218,"2825 Expressway #P2, Atlanta, GA 30345",3bd,3ba,"$260,000","1,671 sqft"
219,"1150 Collier Rd   NW #L22, Atlanta, GA 30318",1bd,1ba,"$175,000",636 sqft
220,"1471 Hardin Ave, College Park, GA 30337",3bd,2ba,"$369,900","1,314 sqft"
221,"451 Holly St NW, Atlanta, GA 30318",3bd,2ba,"$335,000","1,371 sqft"
222,"738 Highland Ave NE, Atlanta, GA 30312",3bd,2ba,"$625,000","1,863 sqft"
223,"452 Rockwell St SW, Atlanta, GA 30310",4bd,4ba,"$585,000","2,980 sqft"
224,"620 Peachtree St NE #1911, Atlanta, GA 30308",2bd,1ba,"$254,900",992 sqft
225,"132 Warren St, Atlanta, GA 30317",3bd,2ba,"$625,000","1,680 sqft (on 0.30 acres)"
226,"Hutton Plan in Easton, Atlanta, GA 30318",3bd,3ba,"$590,990+","2,349 sqft"
227,"1029 Piedmont Ave NE #207, Atlanta, GA 30309",1bd,1ba,"$300,000",852 sqft
228,"33 Mildred Pl NW, Atlanta, GA 30318",Studio,Undisclosed,"$84,900",Undisclosed
229,"1016 Ada Ave NW, Atlanta, GA 30318",Studio,Undisclosed,"$35,000",Undisclosed
