Address,Beds,Baths,Price,Square Foot,Suggested Price
"4100 Paces Walk SE #1206, Atlanta, GA 30339",2bd,2ba,325000,1304,426538.07
"391 Mount Zion Rd   SW, Atlanta, GA 30354",5bd,2ba,275000,2048,669900.29
"1545 Pineview Ter SW, Atlanta, GA 30311",2bd,1ba,275000,1287,420977.38
"70 Chappell Rd NW, Atlanta, GA 30314",5bd,3ba,439900,2160,706535.46
"2637 Peachtree Rd NE #310, Atlanta, GA 30305",2bd,2ba,375000,1454,475603.04
"1696 Westwood Ave SW, Atlanta, GA 30310",4bd,3ba,635000,2400,785039.4
"5222 Brooke Ridge Dr, Atlanta, GA 30338",2bd,2ba,469000,1645,538079.09
"1777 Maple Walk Cir SW, Atlanta, GA 30315",3bd,3ba,370000,1966,643078.11
"2825 Expressway #P2, Atlanta, GA 30345",3bd,3ba,260000,1671,546583.68
"1150 Collier Rd   NW #L22, Atlanta, GA 30318",1bd,1ba,175000,636,208035.44
"1471 Hardin Ave, College Park, GA 30337",3bd,2ba,369900,1314,429809.07
"451 Holly St NW, Atlanta, GA 30318",3bd,2ba,335000,1371,448453.76
"452 Rockwell St SW, Atlanta, GA 30310",4bd,4ba,585000,2980,974757.25
"620 Peachtree St NE #1911, Atlanta, GA 30308",2bd,1ba,254900,992,324482.95
"Hutton Plan in Easton, Atlanta, GA 30318",3bd,3ba,590990,2349,768357.31
"6851 Roswell Rd   #Q20, Atlanta, GA 30328",3bd,2ba,280000,1469,480509.53
"1410 Foxhall Ln   SE #5, Atlanta, GA 30316",3bd,2ba,164900,990,323828.75
"3619 Keswick Dr, Atlanta, GA 30341",5bd,7ba,1750000,6093,1993018.78
"2230 Cheshire Bridge Rd   NE #110, Atlanta, GA 30324",1bd,1ba,175000,755,246960.31
"6230 Mountain Brook Way, Atlanta, GA 30328",6bd,6ba,1435000,5000,1635498.75
"GALEN Plan in Glen at Cascading Palms, Atlanta, GA 30331",4bd,3ba,392990,2340,765413.41
"1460 Hartford Ave SW, Atlanta, GA 30310",3bd,3ba,310000,2662,870739.53
"2392 Jefferson Ter, East Pt, GA 30344",3bd,1ba,254000,1008,329716.55
"809 North Ave, Hapeville, GA 30354",6bd,3ba,450000,3000,981299.25
"10 Perimeter Summit Blvd NE #4203, Atlanta, GA 30319",2bd,2ba,269900,1017,332660.45
"3445 Stratford Rd   NE #2703, Atlanta, GA 30326",1bd,1ba,350000,1303,426210.97
"Bellamy Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,464900,1590,520088.6
"Cabral Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,3ba,323950,1634,534480.99
"1001 Bergeron Pl, Sandy Springs, GA 30328",4bd,4ba,599999,2829,925365.19
"1007 Palmetto Ave SW, Atlanta, GA 30314",2bd,1ba,160000,1182,386631.9
"665 Brookline St SW, Atlanta, GA 30310",3bd,2ba,575000,1765,577331.06
"1422 Glenwood Ave, Atlanta, GA 30316",4bd,4ba,650000,2136,698685.07
"280 Estoria St   SE, Atlanta, GA 30316",3bd,4ba,695000,2130,696722.47
"2454 Kings Ct, Atlanta, GA 30345",5bd,5ba,799000,4863,1590686.08
"218 Marion Pl, Atlanta, GA 30307",3bd,4ba,595000,2227,728451.14
"4016 Lake Manor Way, Atlanta, GA 30349",4bd,3ba,415000,3920,1282231.02
"248 Spalding Gates Dr, Sandy Springs, GA 30328",3bd,3ba,500000,2797,914898.0
"2044 Groveglen Ct, Atlanta, GA 30345",6bd,5ba,1099000,5750,1880823.56
"198 Ponce De Leon Ave  NE #2A, Atlanta, GA 30308",2bd,1ba,285000,910,297660.77
"2630 Woodward Rd   S, Atlanta, GA 30349",3bd,2ba,250000,1464,478874.03
"1226 Greenwich St SW, Atlanta, GA 30310",3bd,2ba,499900,1849,604807.44
"3777 Peachtree Rd NE #305, Brookhaven, GA 30319",1bd,1ba,270000,919,300604.67
"400 17th St   NW #2409, Atlanta, GA 30363",2bd,2ba,315000,1155,377800.21
"1933 Boulderview Dr SE, Atlanta, GA 30316",4bd,3ba,355000,1944,635881.91
"2644 Oakdale St NW, Atlanta, GA 30318",4bd,3ba,550000,2277,744806.13
"855 Fleetwood Cir  SW, Atlanta, GA 30311",3bd,3ba,625000,2400,785039.4
"430 Lindbergh Dr   NE #K3, Atlanta, GA 30305",2bd,2ba,264900,1188,388594.5
"1585 Archer St SW, Atlanta, GA 30314",4bd,3ba,419995,1712,559994.77
